Samples	CN2	CN7	CN8	CN9	CN10	CN18	CN19	CN20	CN24
PD53330a	0	0	0	150	0	0	0	0	0
PD53332a	0	0	0	136	0	0	0	64	44
PD53332c	0	0	0	227	0	0	0	72	63
PD53333a	69	0	0	0	0	0	94	71	0
PD53333c	51	0	0	0	75	0	0	83	0
PD53333d	60	0	0	0	0	0	76	92	0
PD53333e	59	0	0	0	74	0	0	64	0
PD53343a	65	0	0	0	0	0	0	77	0
PD53343c	45	0	0	0	0	38	0	88	0
PD53343d	61	0	0	0	0	0	0	165	0
PD53343e	49	0	0	0	0	0	0	219	0
PD53343f	42	0	0	0	0	46	0	89	0
PD53343g	50	0	0	0	0	45	0	85	0
PD53347a	0	107	0	0	0	192	0	0	0
PD53349a	48	0	0	0	0	48	0	77	0
PD53349c	31	0	0	0	0	43	55	60	0
PD53350a	44	0	111	0	0	0	86	0	0
PD53350c	42	0	133	0	0	0	120	0	0
PD53352a	66	0	0	0	0	0	68	40	0
PD53352c	63	0	0	0	0	0	59	51	0
PD53355a	43	0	95	0	0	0	55	0	0
PD53357a	47	0	0	0	0	49	0	86	0
PD53359a	49	0	0	0	0	0	51	51	0
PD53364a	48	0	0	0	120	0	0	92	0
